Address,Distance to Nearest Park,Nearest Park,Park Quality,Beds,Baths,Parking,Type,Weekly Price,Latitude,Longitude
"519 Bell Street, Redan VIC 3350",0.731113798,Morshead Park,Poor Park,3,1,1,House,380,-37.5767486,143.8361878
"2 Maude Street, Morwell VIC 3840",1.765133787,Morwell Centenary Rose Garden,Average Park,3,1,0,House,400,-38.2290791,146.4094198
"42 Alamein Street, Morwell VIC 3840",1.483685284,MERA Community Park,Poor Park,2,1,2,House,330,-38.2335328,146.4211165
"22 Dominic Parade, Melton VIC 3337",1.272813679,Navan Park,Poor Park,3,1,0,House,380,-37.6780286,144.5789566
"10 Longley Street, Alfredton VIC 3350",1.143047683,Ballarat Botanical Gardens,Good Park,3,1,1,House,370,-37.5564449,143.8170998
"20 Horvaths Road, Trentham VIC 3458",9.874939597,Blackwood Mineral Springs Caravan Park,Poor Park,1,1,2,House,370,-37.382528,144.3144039
"1005a Gregory Street, Lake Wendouree VIC 3350",1.692874415,Walter J. Jones Memorial Park,Poor Park,2,1,2,House,390,-37.5446268,143.8473327
"1010 Warrenheip Street, Buninyong VIC 3357",9.290905624,NRMA Ballarat Holiday Park,Average Park,2,1,1,House,400,-37.6558561,143.8818266
"7 Perry Court, Heyfield VIC 3858",7.494589494,Wallaby Rise Bush Camping Park,Poor Park,3,1,1,House,360,-37.976433,146.7898037
"57 MILL PARK DRIVE, Mill Park VIC 3082",9.042373597,Heide Park,Poor Park,1,1,1,House,380,-37.6770864,145.0617839
"338 Forest Street, Wendouree VIC 3355",1.452378521,Pioneer Park,Poor Park,3,1,5,House,400,-37.529823,143.8336052
"51 Chase Boulevard, Alfredton VIC 3350",2.869070787,Ballarat Botanical Gardens,Good Park,2,2,1,House,370,-37.5555439,143.7907269
"107 Reed Crescent, Wonthaggi VIC 3995",3.11011438,Wonthaggi Community Garden,Poor Park,3,1,0,House,385,-38.6180637,145.5883947
"3/46 Windsor Crescent, Bundoora VIC 3083",6.481078493,Heide Park,Poor Park,1,1,0,House,280,-37.6993305,145.0696458
"52 Marigold Street, Wendouree VIC 3355",0.961414249,Pioneer Park,Poor Park,2,1,0,House,330,-37.528676,143.8232737
"22 Lyons St, Miners Rest VIC 3352",5.114731698,Pioneer Park,Poor Park,2,1,2,House,400,-37.4769919,143.8022692
"242 Joseph Street, Canadian VIC 3350",0.602050771,NRMA Ballarat Holiday Park,Average Park,3,1,1,House,380,-37.5743726,143.877851
"7 Jenkin Street, Ararat VIC 3377",71.4463883,Black Range State Park,Poor Park,2,1,2,House,370,-37.2807904,142.9202886
"28 The Boulevard, Morwell VIC 3840",1.133919364,MERA Community Park,Poor Park,3,1,2,House,390,-38.2320736,146.4264128
"401 York Street, Ballarat East VIC 3350",0.867298454,NRMA Ballarat Holiday Park,Average Park,2,1,2,House,340,-37.5685696,143.8796843
"4 Collard Street, Newington VIC 3350",0.566463304,Victoria Park - dog park,Poor Park,2,2,2,House,385,-37.5645299,143.8329226
"77 Crinigan Road, Morwell VIC 3840",0.746736191,MERA Community Park,Poor Park,3,1,0,House,360,-38.217432,146.4246576
"14 Iris Avenue, Wendouree VIC 3355",2.016024203,Ballarat Botanical Gardens,Good Park,2,1,1,House,350,-37.5386563,143.8417895
"748 Karadoc Avenue, Irymple VIC 3498",248.5740026,Schneider Gardens,Poor Park,1,1,2,House,320,-34.222102,142.1775223
"9 Stanley Street, Ballarat North VIC 3350",1.336050799,Peel Street Park,Poor Park,3,1,1,House,390,-37.5419867,143.8553907
"19 Stearman Street, Newborough VIC 3825",6.602563956,Lions Park,Poor Park,3,1,3,House,345,-38.1739545,146.2878949
"3911 Midland Highway, Eganstown VIC 3461",1.639779349,Spring Park Nursery,Poor Park,3,1,1,House,360,-37.3581245,144.0901349
"2 Fernberg Place, Melton West VIC 3337",0.679923316,Navan Park,Poor Park,3,1,1,House,375,-37.6748759,144.5618635
